date,activity_id,activity_type,duration_seconds,calories,avg_hr,max_hr,hr_zone_1_time,hr_zone_2_time,hr_zone_3_time,hr_zone_4_time,hr_zone_5_time,training_effect_aerobic,training_effect_anaerobic,recovery_time_hrs,stress_start,stress_end,stress_change,body_battery_impact,distance_meters,pool_size_meters,total_strokes,avg_swolf,avg_stroke_rate_spm,avg_distance_per_stroke,stroke_type_primary,total_lengths,total_intervals,rest_time_seconds,drill_time_seconds,avg_pace_per_100m,css_pace_per_100m,stroke_efficiency_score,is_open_water
2025-12-21,21319064366,lap_swimming,1722.1280517578125,226.0,117.0,149.0,744.051,718.27,164.996,0.0,0.0,2.0,0.1000000014901161,0,,,,,1450.0,50.0,637.0,,,2.28,,,,1745.656,0,118.77,,,False
2026-06-01,23095824776,lap_swimming,2032.4840087890625,237.0,109.0,127.0,1138.179,782.647,0.0,0.0,0.0,1.2999999523162842,0.0,0,,,,,2000.0,50.0,750.0,,,2.67,,,,2047.4,0,101.62,,,False
2026-06-09,23194326150,lap_swimming,2396.135986328125,254.0,108.0,132.0,1410.876,660.197,0.0,0.0,0.0,1.2999999523162842,0.0,0,,,,,1500.0,25.0,811.0,,,1.85,,,,2580.94,0,159.74,,,False
2026-06-26,23388610579,lap_swimming,1556.8929443359375,148.0,105.0,128.0,846.977,353.965,0.0,0.0,0.0,1.100000023841858,0.0,0,,,,,625.0,25.0,536.0,,,1.17,,,,2509.132,0,249.1,,,False
